,sen,sendel,oricat,verbs,storyid,sentencenum
6789,"Surprised, she found that the ticket was a $5 winner.","Surprised , she <VERB> that the ticket was a $ 5 winner . ",equal,find ,eeb3f990-12e0-4375-ba33-2feba3b98597,3
6790,One day he found someone wandering in his house.,One day he <VERB> someone wandering in his house . ,equal,find ,1bd52585-bb84-4aa8-82da-671e047a76c6,3
6791,Mika was really looking forward to seeing a movie together.,Mika was really <VERB> forward to seeing a movie together . ,equal,look ,79e765d9-77bb-4927-8c39-098247f646be,1
6792,She left her boyfriend.,She <VERB> her boyfriend . ,equal,leave ,71c99069-21ba-4076-a9bc-3ae3e01bf4e7,5
6793,I went to my door yesterday.,I <VERB> to my door yesterday . ,equal,go ,4091dda1-66eb-4065-9fc3-db1c0668a9c9,1
6794,"Sick to her stomach from candy, Nell turned in the money.","Sick to her stomach from candy , Nell <VERB> in the money . ",pos,turn ,bc183dd8-c1da-44de-b593-34882dab2c2c,5
6795,Jerry was feeling very tired that day during work.,Jerry was <VERB> very tired that day during work . ,equal,feel ,81c4181f-322a-4718-bb5d-54f066050662,2
6796,"To solve that, I tied a balloon to him.","To <VERB> that , I tied a balloon to him . ",pos,solve ,63a15434-edf9-4307-ad95-c8ffa0ffb14e,4
6797,They saw some expensive sweaters that they liked.,They saw some expensive sweaters that they <VERB> . ,equal,like ,89413b5e-da86-4d9e-814f-7279bb04f411,2
6798,Because of that incident she will always be suspicious of leaf piles.,Because of that incident she <VERB> always be suspicious of leaf piles . ,pos,will ,5b323034-8c9d-4a57-af51-e9348a266afc,5
6799,A large thunderstorm occurred near Brad's house.,A large thunderstorm <VERB> near Brad 's house . ,neg,occur ,a2d49cfa-5305-4013-8897-9d00a8d7107c,1
6800,He paid a company to come do an evaluation.,He paid a company to <VERB> do an evaluation . ,pos,come ,8d66007d-8cae-425f-92bb-af62bdfc2608,4
6801,"And he was left with dense, doughy buns.","And he was <VERB> with dense , doughy buns . ",equal,leave ,b94bca8d-1c96-47d4-8b28-358409f52494,4
6802,I invented a new bridge and was finally an inventor!,I <VERB> a new bridge and was finally an inventor ! ,pos,invent ,cf56702a-eb16-4d7e-8403-03d82e5f6112,5
6803,But then she realized she had her phone still to occupy her.,But then she realized she had her phone still to <VERB> her . ,pos,occupy ,401fb4bd-86a6-4244-8db8-ddb764a7f737,5
6804,Tina was looking for a new home.,Tina was <VERB> for a new home . ,equal,look ,12161e05-ab53-4cc6-83f9-db081e7bc421,1
6805,"With a settlement in his favor, he laughed all the way to the bank.","With a settlement in his favor , he <VERB> all the way to the bank . ",pos,laugh ,d14117a8-6ad6-471c-8faa-2e03b58ad5b1,5
6806,So Susie had to put her down.,So Susie had to <VERB> her down . ,equal,put ,8503a345-32ea-44c7-991f-a651c30708cf,3
6807,I wanted to plant a new cherry tree in my backyard.,I wanted to <VERB> a new cherry tree in my backyard . ,pos,plant ,545787dc-86ee-439e-a653-a20d56343dca,1
6808,He had to go to summer school.,He had to <VERB> to summer school . ,equal,go ,cca3defd-81bc-4cea-b07b-c5736865907d,5
6809,Alyssa tried to get into the bus.,Alyssa tried to <VERB> into the bus . ,pos,get ,ad1eb2fa-0b60-4d47-b544-9504f386f3ce,1
6810,It was much faster and I decided to never go back to the old way.,It was much faster and I <VERB> to never go back to the old way . ,pos,decide ,839a5824-3fb7-4823-bf98-b14dfd1c3dd5,5
6811,"She went to a nice quiet coffee shop, instead.","She <VERB> to a nice quiet coffee shop , instead . ",equal,go ,f3879703-9102-4b6d-bd5a-18e60e4dac94,3
6812,Frank freaked out and called the cops.,Frank freaked out and <VERB> the cops . ,pos,call ,e96bb77b-48a1-4ae9-a4db-93c8805e9c50,3
6813,I am tired of the mud so we went to the hardware store.,I am tired of the mud so we <VERB> to the hardware store . ,equal,go ,1c411f3a-c93c-4e81-a29a-4cfc25643d4e,3
6814,"However, nobody seemed to want to buy his onions.","However , nobody <VERB> to want to buy his onions . ",neg,seem ,8de0ea43-f97e-4e51-98a2-24cbfc861c00,4
6815,I decided to buy some food and medicine and give it to her daughter.,I decided to <VERB> some food and medicine and give it to her daughter . ,pos,buy ,70760b12-494d-43ce-a41d-59b0770ef1a1,5
6816,I sat down and drank my coffee.,I <VERB> down and drank my coffee . ,neg,sit ,08778554-a6ae-4d95-bf78-512e7fe4077c,4
6817,A friendly firefighter was able to bring her cat out of the tree.,A friendly firefighter was able to <VERB> her cat out of the tree . ,pos,bring ,6b2d6f92-0852-410b-a5b2-f5d63846f9db,5
6818,Libby needs gas for her car.,Libby <VERB> gas for her car . ,neg,need ,5f14e8a5-6ff4-47e6-a004-448620d36144,1
6819,He disembarked and looked around.,He disembarked and <VERB> around . ,equal,look ,b4f45805-03a1-40be-a067-f1289f92f863,3
6820,"He worked hard and ate healthy for a year, making steady progress.","He worked hard and <VERB> healthy for a year , making steady progress . ",pos,eat ,94aa4bc2-897a-4b99-b663-6f5e00f16f62,4
6821,The teachers looked tired and mean.,The teachers <VERB> tired and mean . ,equal,look ,ce1fe15c-123d-49cf-bb65-c05091281999,4
6822,Tim was walking around downtown.,Tim was <VERB> around downtown . ,pos,walk ,2c9486fd-f01f-4f62-bd23-72a82d980607,1
6823,The police didn't believe it was false results from her bagel.,The police did n't <VERB> it was false results from her bagel . ,neg,believe ,f94c19d1-3740-4ecd-b28e-5b45fded1cce,5
6824,They hadn't realized it was on their path!,They had n't <VERB> it was on their path ! ,neg,realize ,2f31c614-6d53-4541-9496-c073bddc7d53,3
6825,Simon plays Mario Kart the entire time he's at Grandma's.,Simon <VERB> Mario Kart the entire time he 's at Grandma 's . ,pos,play ,6a8d6eb4-32d1-4002-970a-094a87289dfe,5
6826,He missed a day at work because of it.,He <VERB> a day at work because of it . ,neg,miss ,f3b5a190-ca03-4adf-8ed6-628df33368be,4
6827,And she forgot her gym clothes.,And she <VERB> her gym clothes . ,neg,forget ,399746e7-6491-42b9-a18b-72f97b170d10,2
6828,A bank robber decided to target a bank on Monday.,A bank robber <VERB> to target a bank on Monday . ,pos,decide ,202b80b3-8094-486b-860c-c6e229524e5b,1
6829,The day was filled with laughs and fun.,The day was <VERB> with laughs and fun . ,pos,fill ,a433fd07-39fc-4fc9-8d92-3c83bc34b515,5
6830,One day a co-worker offered to help her pass the test.,One day a co - worker offered to <VERB> her pass the test . ,pos,help ,b71267bc-590f-45bf-b52b-f42fd7a12a9c,4
6831,A few friends came and we had a good time.,A few friends <VERB> and we had a good time . ,pos,come ,44509f2c-22d1-40bb-88f8-c8615f4f2803,5
6832,They left on the day of Alex’s fiftieth birthday.,They <VERB> on the day of Alex ’s fiftieth birthday . ,equal,leave ,c2614c1a-6b62-4962-83e0-a18ff6d144b9,5
6833,"However, we didn't come across anyone when we arrived.","However , we did n't <VERB> across anyone when we arrived . ",pos,come ,02d194ce-7d16-442e-9e29-0c04bf6d9202,3
6834,He was going to his first NFL game!,He was <VERB> to his first NFL game ! ,equal,go ,33d46b03-7caa-469b-8180-a040eb614452,2
6835,She bit into a cookie and spit it back out.,She <VERB> into a cookie and spit it back out . ,pos,bite ,b966ffe2-3cf1-4d17-8da9-192c68530608,4
6836,His fiancee dumped him before the wedding.,His fiancee <VERB> him before the wedding . ,pos,dump ,37ca8ec2-de79-46a9-aa1f-6e8a8e169687,5
6837,They carpooled to Belinda's house and walked inside.,They carpooled to Belinda 's house and <VERB> inside . ,pos,walk ,99d0f0d7-8226-4d23-acc2-81af06ab7e24,3
6838,Lucy and her grandma went to Walmart.,Lucy and her grandma <VERB> to Walmart . ,equal,go ,ec3e8f3a-c9c3-479c-8a57-0aa337c1f2ae,1
6839,Natalie lived alone in a big blue house in the forest.,Natalie <VERB> alone in a big blue house in the forest . ,equal,live ,86b86e81-689d-4a68-821b-b3ed57c1978a,1
6840,Now they go to the aquarium instead of going fishing every year.,Now they <VERB> to the aquarium instead of <VERB> fishing every year . ,equal,go ,33690ce6-3ff8-459b-afcc-bcdf36361344,5
6841,Archie put on his new clothes for picture day at school.,Archie <VERB> on his new clothes for picture day at school . ,equal,put ,799606df-00ff-40b3-b4b5-0be40262beeb,1
6842,Nathan lived next door to a rich family.,Nathan <VERB> next door to a rich family . ,equal,live ,220ceb42-a71c-474a-b4c2-7af80743c373,1
6843,Dan had always wanted to ride a motorcycle.,Dan had always <VERB> to ride a motorcycle . ,neg,want ,80f173c9-e980-4520-a9b1-eec7d8043f65,1
6844,Steven enjoys the race.,Steven <VERB> the race . ,neg,enjoy ,b2dbf0ba-0eff-4dce-be17-9c621760d3b0,5
6845,When she took a bite she noticed that her tooth was in it.,When she took a bite she <VERB> that her tooth was in it . ,equal,notice ,c6c541e9-514e-453c-a6eb-371ca8121607,3
6846,She needed flip flops.,She <VERB> flip flops . ,neg,need ,9bd19125-56e9-437c-a5f2-aa357a65603b,2
6847,Hampton left the magazine on the coffee table near his drink.,Hampton <VERB> the magazine on the coffee table near his drink . ,equal,leave ,c5ab6bdf-ae2b-4a8b-93b2-7952343ab20c,3
6848,"Around midnight, a shootout occurred.","Around midnight , a shootout <VERB> . ",neg,occur ,be4a68ab-14d9-4689-811d-05fe3c49e2c7,3
6849,Her mother didn't like for her to walk alone.,Her mother <VERB> n't like for her to walk alone . ,pos,do ,a903fa27-2d2e-48e5-9b47-34d78a1d8478,2
6850,Tom went to watch a movie.,Tom <VERB> to watch a movie . ,equal,go ,17b52bd0-82f5-4cae-9b41-cc711de8b342,1
6851,John felt a way he had never felt before during that talk.,John <VERB> a way he had never <VERB> before during that talk . ,equal,feel ,9841245b-f27a-496a-91e4-bf7a4061d444,2
6852,Her hair smelled like strawberries.,Her hair <VERB> like strawberries . ,neg,smell ,11ab695d-d45b-4cbb-8dbe-836a46bb4bbb,4
6853,She placed it in the oven.,She <VERB> it in the oven . ,pos,place ,4b078987-bb82-45f4-8801-ea9efa9aa794,2
6854,He was looking for colleges to go to.,He was looking for colleges to <VERB> to . ,equal,go ,88be5301-e6ee-4b1f-95c5-4f0d28b45e79,2
6855,Her phone has no data plan and she needs the internet.,Her phone has no data plan and she <VERB> the internet . ,neg,need ,389a0d13-bf00-400e-b06f-c90bf112ad5c,2
6856,They had a great time and missed Sue when she left.,They had a great time and missed Sue when she <VERB> . ,equal,leave ,fb8dd8bc-73fb-46d9-8931-08b1fc4942de,5
6857,Naro wanted to be Brave.,Naro <VERB> to be Brave . ,neg,want ,ad0cbd12-a103-4979-bf84-b8858c5de159,1
6858,He decided to get a job at the grocery store.,He <VERB> to get a job at the grocery store . ,pos,decide ,d02cf4bd-d5ee-4b05-9f6d-a6acf94cea3f,3
6859,Kerri was about to go blonde for the first time.,Kerri was about to <VERB> blonde for the first time . ,equal,go ,1033af6c-4a73-408c-af30-6ce48252dcef,1
6860,Josh was relieved.,Josh was <VERB> . ,pos,relieve ,4660dc10-64a1-4234-8481-9e0388cfcd21,4
6861,They both liked the same girl.,They both <VERB> the same girl . ,equal,like ,d8b4dec0-bc9c-4626-9c96-6847f3eb9e1c,3
6862,Bob lived in his house for thirty years.,Bob <VERB> in his house for thirty years . ,equal,live ,03093728-57bb-4a25-830a-eec1c0b9f89d,1
6863,Rupert is pleased because he no longer gets ingrown toenails.,Rupert is pleased because he no longer <VERB> ingrown toenails . ,pos,get ,6a13c106-9fa4-47b0-ad91-fa73ee7c4107,5
6864,Dan was ashamed that he had forgotten the iron on.,Dan was ashamed that he had <VERB> the iron on . ,neg,forget ,79ac26d8-b3d6-4598-9dc4-c1b6abda3359,5
6865,Mom came and killed the snake.,Mom <VERB> and killed the snake . ,pos,come ,2db027a2-e7ed-4fff-ba0f-21d0cae06b9e,5
6866,Tim had never experienced them before.,Tim had never <VERB> them before . ,neg,experience ,5f8bbda0-5f14-4e4d-8147-e0c2287dc64b,3
6867,"One day at school, Tim went to go eat lunch.","One day at school , Tim <VERB> to <VERB> eat lunch . ",equal,go ,9d100c4b-6121-48a5-a750-c2491539a127,1
6868,Noah's teacher couldn't stand him because of his bad behavior.,Noah 's teacher could n't <VERB> him because of his bad behavior . ,equal,stand ,dc3d2218-3801-4da0-9f80-69f87a98c68e,4
6869,He found pornography.,He <VERB> pornography . ,equal,find ,ea002526-6e6b-411e-9eb3-82bbcba34c12,2
6870,Carl was terrified.,Carl was <VERB> . ,pos,terrify ,49b56af5-8580-40e1-b097-01b69fdde1db,1
6871,He took them to work.,He <VERB> them to work . ,pos,take ,334ee521-abca-4a62-811c-39b0b8d4887f,3
6872,She went down to the station.,She <VERB> down to the station . ,equal,go ,57a800cb-fd07-4b62-a3a3-bdbcaaabd9ae,4
6873,We put on our fancy clothes and went to the club.,We put on our fancy clothes and <VERB> to the club . ,equal,go ,6f800a12-9cc3-4248-a86e-f3e16e7fa987,2
6874,I saw a band last night.,I <VERB> a band last night . ,neg,see ,6aeefbab-2c28-4f63-8363-cac46a7a3b9b,1
6875,"Eventually, we sat next to the stream to watch it bubble past.","Eventually , we <VERB> next to the stream to watch it bubble past . ",neg,sit ,27a3c65a-2356-4eb5-97df-91d5cf9ee74b,3
6876,I went to the best buy store looking for cell phones.,I <VERB> to the best buy store looking for cell phones . ,equal,go ,ce02efb1-e01e-46ed-9fc6-b06f76512191,1
6877,Jan checked into a hotel after a long business workshop.,Jan <VERB> into a hotel after a long business workshop . ,equal,check ,861ff064-e0ea-4fef-99ca-3acb7b76ca45,1
6878,She worked very hard and bought all the needed appliances.,She worked very hard and <VERB> all the needed appliances . ,pos,buy ,1976df94-7790-4bc2-b1aa-cb2bbd4bcd8e,2
6879,"When she ran into the living room, she saw the snow globe shattered.","When she <VERB> into the living room , she saw the snow globe shattered . ",pos,run ,b9ca202d-5a19-407f-88d6-9bdeded4488f,4
6880,Tiffany and I went to the country.,Tiffany and I <VERB> to the country . ,equal,go ,7e4a9829-5902-4178-be4e-ec33ed22cccc,1
6881,They then washed the socks so they didn't smell so bad.,They then washed the socks so they <VERB> n't smell so bad . ,pos,do ,0b3909ab-5455-47bb-a1d7-7d27b07a957e,5
6882,Tiffany decides to start dieting.,Tiffany <VERB> to start dieting . ,pos,decide ,f5d006bb-dd58-40ef-b617-40e95b9d1c85,3
6883,I saw a few very interesting looking albums.,I saw a few very interesting <VERB> albums . ,equal,look ,0eedda01-5ba9-4261-88a6-ba1f0a2999fa,2
6884,"In front of the class, however, he was so nervous he looked stupid.","In front of the class , however , he was so nervous he <VERB> stupid . ",equal,look ,a44f1937-6ba7-4c2b-bd1d-21e363dedf2f,5
6885,But she neglected to keep it clean.,But she neglected to <VERB> it clean . ,neg,keep ,381db17d-eee9-46d3-bb54-5df6561368ed,3
6886,Jon liked a girl.,Jon <VERB> a girl . ,equal,like ,e2cf7277-cc64-43b5-84d8-1efeba5c247f,1
6887,They had gone fairly late and the pickings were now slim.,They had <VERB> fairly late and the pickings were now slim . ,equal,go ,53da57e7-3b89-461b-94f7-efaf203db540,2
6888,Tim failed his test.,Tim <VERB> his test . ,neg,fail ,f4b4407b-f55d-4f5a-9b38-44df6bac250f,5
6889,We took a long nature hike into the woods.,We <VERB> a long nature hike into the woods . ,pos,take ,111e10ad-fdeb-4e73-82e9-3038402674e2,2
6890,Mark was a horrible child who was always whining.,Mark was a horrible child who was always <VERB> . ,equal,whine ,282ebdeb-6334-4126-bbad-7e8ae751402c,1
6891,He was in a hurry so he decided to take a shortcut.,He was in a hurry so he <VERB> to take a shortcut . ,pos,decide ,6bd12c23-93ad-4bcc-8a1b-f08f9da41466,2
6892,The dog looks curiously around the surroundings.,The dog <VERB> curiously around the surroundings . ,equal,look ,a9531e57-af25-47d2-af45-4e627f816b5d,3
6893,Before she knew it she was having a blast.,Before she <VERB> it she was having a blast . ,neg,know ,eb9e5a00-1898-4d89-b70d-54b2ee7aca8b,5
6894,Lyn loses because she lives in a liberal area.,Lyn loses because she <VERB> in a liberal area . ,equal,live ,b580826f-5513-41e7-be0e-bfeed5f3ed15,5
6895,We went camping and fishing for two weeks.,We <VERB> camping and fishing for two weeks . ,equal,go ,73f493e8-f67f-4955-b680-7f1535d178d2,2
6896,She was excited to return to the old grocery store.,She was excited to <VERB> to the old grocery store . ,pos,return ,3612655b-0280-465a-a9e1-da3b8b9b0d3a,2
6897,I do not think a ticket is friendly.,I <VERB> not think a ticket is friendly . ,pos,do ,f68f51e6-f3f3-4008-9281-086b2a7dabeb,4
6898,"Thankfully they had the bread that Tristan wanted, so he bought it.","Thankfully they had the bread that Tristan wanted , so he <VERB> it . ",pos,buy ,e35c96c5-b07d-46f3-933e-abbcf69ea9d0,4
6899,Gina needed a better paying job.,Gina <VERB> a better paying job . ,neg,need ,4480fb90-1b30-4c76-ac67-bbfce7a9f38d,1
6900,John decided to eat a healthier breakfast.,John <VERB> to eat a healthier breakfast . ,pos,decide ,33970a4f-eaff-49a9-8f23-5bfc1bc38d8b,3
6901,Hannah had recently started a new job.,Hannah had recently <VERB> a new job . ,pos,start ,b2ef5810-696a-41a7-a0ef-a7ec8874447c,1
6902,One day she accidentally left it behind at the local library.,One day she accidentally <VERB> it behind at the local library . ,equal,leave ,101c22d1-4a7f-4c8a-a3ff-ee1b62525fb6,4
6903,My mouth needed 4 stitches.,My mouth <VERB> 4 stitches . ,neg,need ,c2536ec0-1835-4279-a7d6-0ae13f0b4c49,5
6904,Kate was very upset she couldn't watch the video.,Kate was very upset she could n't <VERB> the video . ,equal,watch ,67a7d80f-d2b7-4d0e-a5b7-54f6ce20c5c7,5
6905,Now Juanita no longer feels tired when she is at work.,Now Juanita no longer <VERB> tired when she is at work . ,equal,feel ,d7f34410-e325-4c79-900d-a5be8cd75501,5
6906,She was worried because the other kids weren't learning their parts.,She was worried because the other kids were n't <VERB> their parts . ,equal,learn ,9f34dc09-8a2c-4f93-afbd-e773b8303aad,2
6907,Jean hasn't seen her best friend in two Year's.,Jean has n't <VERB> her best friend in two Year 's . ,neg,see ,58528fac-13ac-414d-bd7b-59a199130cf5,1
6908,He learned never to cheat again.,He learned never to <VERB> again . ,pos,cheat ,e14e0a66-20a7-45e4-9163-5ff5d72e8269,5
6909,Katie went hiking in the woods.,Katie <VERB> hiking in the woods . ,equal,go ,257217fb-c56e-4799-a5be-d34d367a9ee1,1
6910,Long distances are her favorite to do.,Long distances are her favorite to <VERB> . ,pos,do ,4a92a20b-b45f-410e-b669-4e319d389d7c,2
6911,Evan saw tiny minnows in the creek behind his home.,Evan <VERB> tiny minnows in the creek behind his home . ,neg,see ,8e7be55e-7258-4877-96ae-177f7f57c92d,1
6912,Neil found it to be very busy.,Neil <VERB> it to be very busy . ,equal,find ,c4131bd1-7f65-4c74-9c15-ce06cd8aa7bd,3
6913,Allie wanted to be a designer.,Allie <VERB> to be a designer . ,neg,want ,f6bda48c-3304-43bd-bf33-24a52cb3ce54,1
6914,"When he came in first place, he was surprised and happy!","When he <VERB> in first place , he was surprised and happy ! ",pos,come ,c97fb2b7-965b-4a9c-8488-72bb730f8ffc,5
6915,He woke up because he was uncomfortably hot.,He <VERB> up because he was uncomfortably hot . ,pos,wake ,d44ceace-7743-45c4-ba01-11c72ea5785f,3
6916,He went to a trade school for radio broadcasting.,He <VERB> to a trade school for radio broadcasting . ,equal,go ,7bf000bc-eb4d-4d7d-a425-7d8c14fd82f6,2
6917,He needed a snack.,He <VERB> a snack . ,neg,need ,4b5d2d83-90eb-41c1-8d5e-f5248ce4eaca,2
6918,"The puppy was happy again, and Jessie had found her new dog.","The puppy was happy again , and Jessie had <VERB> her new dog . ",equal,find ,76cd1d74-2d75-4f36-8295-6a5dbf0f220e,5
6919,Finally her neighbor found her.,Finally her neighbor <VERB> her . ,equal,find ,98e4fc02-d384-49d4-8a68-60a6c1845368,4
6920,It helped tremendously.,It <VERB> tremendously . ,pos,help ,80161bf3-3efc-496e-9189-426b88eab496,4
6921,He finds them to be boring.,He <VERB> them to be boring . ,equal,find ,5a62d02a-127e-4da2-a345-71367439218a,2
6922,Then they left with the stuff they bought and went on their way.,Then they left with the stuff they bought and <VERB> on their way . ,equal,go ,22a5f47c-5917-4353-9500-1b73243ff23d,5
6923,He stopped shovelling the snow and called an ambulance.,He stopped shovelling the snow and <VERB> an ambulance . ,pos,call ,59d93736-f532-44ad-99b1-a1f45a9ca4a9,5
6924,My dad gave me a gift card.,My dad <VERB> me a gift card . ,pos,give ,075424d3-ebf3-442a-a84a-3ee6da1c6204,1
6925,"Unlucky for her, the stain was the first thing the man noticed.","Unlucky for her , the stain was the first thing the man <VERB> . ",equal,notice ,af4266e6-8e77-47d7-ac7e-76b94aa35ef0,5
6926,His performance would influence his entire future.,His performance would <VERB> his entire future . ,pos,influence ,4e21c685-c1e4-4cbc-978c-d725ee303b56,2
6927,All of a sudden she heard a loud noise.,All of a sudden she <VERB> a loud noise . ,neg,hear ,fa5f9f82-6f65-480a-91c0-877af68ac172,2
6928,She had to put the microphone away until the next day.,She had to <VERB> the microphone away until the next day . ,equal,put ,b6b25ecb-3fdd-4212-8d5e-def16047fbde,4
6929,After he had been home for a month he went to a fast food restaurant.,After he had been home for a month he <VERB> to a fast food restaurant . ,equal,go ,9b75acf3-8f40-434d-8764-4618bf3face3,2
6930,His parents thought his ideas could hurt people.,His parents thought his ideas could <VERB> people . ,pos,hurt ,bf4153d1-3138-45f8-b5b2-a3c1080d65f0,2
6931,He goes inside and finds his wife with another man.,He goes inside and <VERB> his wife with another man . ,equal,find ,3c33d7fd-5887-447a-8b18-7a86bbc0b360,5
6932,Martha crashed the car after hitting a patch of black ice.,Martha <VERB> the car after hitting a patch of black ice . ,pos,crash ,5f82245b-ac95-4b33-91e4-4850e1e91522,5
6933,Jon was happy when it arrived.,Jon was happy when it <VERB> . ,equal,arrive ,e6256b37-6301-40c9-bd56-bd8a374c58d3,5
6934,She wanted to go to college.,She wanted to <VERB> to college . ,equal,go ,e985c52b-8a1f-4a43-b8e4-38056f433351,2
6935,I buy them premade from the grocery store and from restaurants.,I <VERB> them premade from the grocery store and from restaurants . ,pos,buy ,cc3982b1-cf98-483f-a702-ff4bd5138611,3
6936,He decided to enter into a big tournament.,He <VERB> to enter into a big tournament . ,pos,decide ,a7307e50-495b-450c-8ee7-39e1abbde33d,3
6937,He opened the oven door and reached for the cookie tray.,He <VERB> the oven door and reached for the cookie tray . ,pos,open ,b73f2679-c575-4b48-bbfe-7b966afedd95,3
6938,Now crippled Harry wished he only took heed.,Now crippled Harry wished he only <VERB> heed . ,pos,take ,cb6f5ac0-9394-407c-9ee9-28fa2b99c8b4,5
6939,A few years ago I went on my first roller coaster.,A few years ago I <VERB> on my first roller coaster . ,equal,go ,64f3214b-c635-454a-9230-102dd1982e24,1
6940,They offered her many glasses options.,They <VERB> her many glasses options . ,pos,offer ,01274cfe-a1ba-4849-a541-78cecaf84cd3,5
6941,Kevin was riding in his boat.,Kevin was <VERB> in his boat . ,pos,rid ,219a9c0f-f955-49b5-881e-4ee9f2f6a7db,1
6942,Rachel needed a new computer.,Rachel <VERB> a new computer . ,neg,need ,c74c2e14-40eb-43a3-801d-8f48cbf63442,1
6943,While there she wanted to try a famous pizzeria.,While there she wanted to <VERB> a famous pizzeria . ,pos,try ,fb5b9667-0ab6-464b-97ce-e959b07b7f92,2
6944,She went into the mall.,She <VERB> into the mall . ,equal,go ,adbe6cc9-64d7-4b55-8328-6831898606ba,2
6945,My kids agreed and we had a lot of fun!,My kids <VERB> and we had a lot of fun ! ,equal,agree ,b5139221-1c4d-4e9d-b0f8-a20eb6a07fd1,5
6946,He was able to successfully quit cigarettes with his new e-cigarette.,He was able to successfully <VERB> cigarettes with his new e - cigarette . ,pos,quit ,c9c67c3b-8f69-48af-a566-5fe9f9b51013,5
6947,She wanted no one to see that.,She wanted no one to <VERB> that . ,neg,see ,84f45df2-6dc7-4255-8abf-4102f89f7069,5
6948,Payne and his friend went golfing.,Payne and his friend <VERB> golfing . ,equal,go ,06e4dd65-80dc-47da-91c4-48edc14637f6,1
6949,Jack wanted a 1967 Chevrolet Camaro his whole life.,Jack <VERB> a 1967 Chevrolet Camaro his whole life . ,neg,want ,be43dbce-c86f-4b45-91b1-7727ec5cd7f3,1
6950,"Unfortunately, my card was declined for fraud alert.","Unfortunately , my card was <VERB> for fraud alert . ",pos,decline ,e531a4d3-d699-4860-bded-2ca98d8678b5,5
6951,Tom learned Spanish.,Tom <VERB> Spanish . ,equal,learn ,c9ec8a25-4bf8-4d2a-8155-57d032e0727b,5
6952,Sam wanted to be an artist.,Sam <VERB> to be an artist . ,neg,want ,166e0655-5b09-4bc9-ad1b-61067dfefe18,1
6953,I found some board games in the attic.,I <VERB> some board games in the attic . ,equal,find ,daf44ba4-9170-404f-ae46-b303e56fbe52,3
6954,My daughter loves spending time with her.,My daughter <VERB> spending time with her . ,pos,love ,819a7504-dc3c-436a-a712-cee4d558ff6f,4
6955,She had forgotten about a test.,She had <VERB> about a test . ,neg,forget ,7625e53b-3abb-4c33-a62a-0e5663c2eb5e,3
6956,Ally already needed to go to the hardware store for a faucet.,Ally already needed to <VERB> to the hardware store for a faucet . ,equal,go ,2bdd5ee6-8c39-4aa1-8e32-0af5e5e4ebc4,1
6957,I cannot wait to go again next year!,I can not wait to <VERB> again next year ! ,equal,go ,24c9f36f-28bb-4097-b899-007d22510b7b,5
6958,Hank's dream was to watch a touring car race in person.,Hank 's dream was to <VERB> a touring car race in person . ,equal,watch ,774dd6cb-cf08-402f-b047-edf745a34dd1,1
6959,Gina was reading a new horror novel.,Gina was <VERB> a new horror novel . ,equal,read ,5a9bae75-a0fb-4f24-ae2e-4266a91f07eb,1
6960,He checked the radiator and noticed it was low on coolant.,He <VERB> the radiator and noticed it was low on coolant . ,equal,check ,0f3d7ea5-0c7e-4484-a82a-2a46e3ce79e5,4
6961,They decided to bring their children.,They decided to <VERB> their children . ,pos,bring ,a7f984e1-f4a1-4b0d-815a-e2dd64108163,3
6962,She went on to finish her degree and launch her product.,She went on to <VERB> her degree and launch her product . ,pos,finish ,ff438cfb-5dec-416d-b8c5-99c29c7f2a09,5
6963,The next day when Joy comes home from school.,The next day when Joy <VERB> home from school . ,pos,come ,00cb11c9-78f8-42e8-b5eb-8e5d8ce59906,3
6964,But unfortunately it made things far worse.,But unfortunately it <VERB> things far worse . ,pos,make ,1ad5b2e8-73b3-4388-8c35-5419eabfa089,5
6965,Julie handed him some pretend plastic coins.,Julie <VERB> him some pretend plastic coins . ,pos,hand ,015f9aba-dfb9-4ad4-b5f6-ee60484727a1,3
6966,Tina went to the movies.,Tina <VERB> to the movies . ,equal,go ,876d8888-d50a-4f64-b778-71b169ec280a,1
6967,She knew a recruiter would be at the big game next month.,She <VERB> a recruiter would be at the big game next month . ,neg,know ,267474d8-15b4-4023-bcf2-562acb423d07,4
6968,He decided to cook his own.,He decided to <VERB> his own . ,pos,cook ,3c32890c-d762-462c-a0b0-86fbcdbc02db,2
6969,They went home after a fun day at the park.,They <VERB> home after a fun day at the park . ,equal,go ,d9dfc8ea-284e-4414-917c-642144bb6696,5
6970,"Later that day, several people at the picnic felt ill.","Later that day , several people at the picnic <VERB> ill . ",equal,feel ,1e6db959-fd6d-47fc-a87b-55589ba1dd08,4
6971,But Peter didn't have any at home.,But Peter <VERB> n't have any at home . ,pos,do ,4bcd5fa2-32c8-4e26-afaa-ea56e9908b58,2
6972,It was so little that Sarah named him Tiny.,It was so little that Sarah <VERB> him Tiny . ,pos,name ,bbd16802-645b-4395-8203-18ccf8b29699,4
6973,John loved playing chess.,John <VERB> playing chess . ,pos,love ,d2b9461e-291e-4438-8bb3-3efe3469262d,1
6974,Cal was half-awake as he stumbled into his kitchen.,Cal was half - awake as he <VERB> into his kitchen . ,neg,stumble ,6976dfd7-175d-46e5-80d1-70752fe375f8,1
6975,In June of 2006 our family went to see a Brockton Rox game.,In June of 2006 our family <VERB> to see a Brockton Rox game . ,equal,go ,9d95aca5-61b7-41b2-864d-780d0bdfbc26,1
